,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
58,63,1510616027373,3,2021-03-13T17:22:51.015Z,5bdc4f6a3c0f810001abb90e,male,25,Italian,2,cmedium,neutral,"vegetables,lweight",none,0,European,0
59,65,300932455547,3,2021-03-13T17:22:58.567Z,5dac9b59c19ff3001716c30d,female,33,UK,3,cmedium,neutral,none,none,0,0,Other
60,66,1257676047835,3,2021-03-13T17:22:20.013Z,604c5fc03fe63b6ce2d0a92f,female,25,mexican,3,cmedium,healthy,lweight,none,0,0,Other
61,67,1139135424765,3,2021-03-13T17:22:49.768Z,5eec65b6f9a5a948009b923f,male,24,Greek,3,chigh,healthy,gweight,none,0,European,0
62,68,728317954872,3,2021-03-13T17:21:13.959Z,5f130a4d0576a615ce9aa9c7,female,21,Polish,2,chigh,neutral,vegetables,none,0,European,0
63,69,974854403033,3,2021-03-13T17:22:49.887Z,603003d8ef81cedec8767d86,male,20,Portuguese,2,cmedium,neutral,"fruit,lweight",none,0,European,0
64,70,1520887623625,3,2021-03-13T17:23:29.013Z,601829114a6f8201fbc23287,female,19,Polish,2,cmedium,neutral,"protein,salt,fruit,vegetables,lweight",vegan,0,European,0
65,71,1095828064613,3,2021-03-13T17:22:34.647Z,5ce8004575db4d0019dee645,female,47,Polish,3,cmedium,healthy,"protein,vegetables,lweight",Paleo low carb,0,European,0
66,73,226442394480,3,2021-03-13T17:23:40.066Z,5fba752247aaee7c0e68e6d0,female,21,Portuguese,2,chigh,healthy,"fruit,vegetables,lweight",pescatarian,0,European,0
67,74,384702976924,3,2021-03-13T17:23:33.468Z,5e8b2f6aecf1c07e41c551be,male,24,Portuguese,4,cmedium,healthy,"fruit,vegetables,lweight",none,0,European,0
68,75,1347392570006,3,2021-03-13T17:23:39.957Z,5f0739f481cd430f8ff79608,other,22,Swedish,2,chigh,neutral,none,vegan,0,European,0
69,76,1162940211849,3,2021-03-13T17:22:51.412Z,5ec933873aa24943793f66c7,female,33,Polish,4,chigh,neutral,"vegetables,lweight",none,0,European,0
70,77,1224616435214,3,2021-03-13T17:23:13.824Z,5f44209516548e123aad52ca,other,20,American,2,clow,unhealthy,"lweight,gweight",none,American,0,0
71,78,190325354468,3,2021-03-13T17:24:01.316Z,5e5e33730fa612000a1fa1f7,male,18,Portuguese,2,clow,neutral,none,none,0,European,0
72,79,1001784944359,3,2021-03-13T17:32:47.072Z,5f6085189d9f7b026c8e635a,female,26,Polish,3,cmedium,neutral,"salt,fruit,vegetables,stop eating refined sugar ",gluten,0,European,0
73,80,432489582737,3,2021-03-13T17:23:44.797Z,5ff767b12e30bf422b3722d9,male,25,Spaniard,3,chigh,healthy,protein,none,0,European,0
74,81,113015344517,3,2021-03-13T17:23:07.630Z,5e739143d4934a023004b7fc,male,24,Polish,3,chigh,healthy,none,none,0,European,0
75,82,406411612940,3,2021-03-13T17:23:57.800Z,5d8f1a95b0b5ba001599cd96,male,21,Polish,2,chigh,healthy,"protein,vegetables,lweight",none,0,European,0
76,83,1261647165341,3,2021-03-13T17:23:27.315Z,5eb80b0e8d5a240519406f02,male,30,Polish,2,cmedium,unhealthy,"protein,vegetables,gweight",none,0,European,0
77,84,1378184566872,3,2021-03-13T17:24:19.143Z,5be941580aa5b80001384d8c,male,34,UK,2,cmedium,unhealthy,"fruit,vegetables,lweight",none,0,0,Other
78,85,757282881777,3,2021-03-13T17:24:21.477Z,5ea35bb82788e52de5e56b85,female,29,french,4,cmedium,neutral,"fruit,vegetables",none,0,European,0
