user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions
384702976924,3,2021-03-13T17:23:33.468Z,5e8b2f6aecf1c07e41c551be,male,24,Portuguese,4,cmedium,healthy,"[""fruit"",""vegetables"",""lweight""]","[""none""]"
1347392570006,3,2021-03-13T17:23:39.957Z,5f0739f481cd430f8ff79608,other,22,Swedish,2,chigh,neutral,"[""none""]","[""vegan""]"
1162940211849,3,2021-03-13T17:22:51.412Z,5ec933873aa24943793f66c7,female,33,portuguese,4,chigh,neutral,"[""vegetables"",""lweight""]","[""none""]"
1224616435214,3,2021-03-13T17:23:13.824Z,5f44209516548e123aad52ca,other,20,French,2,clow,unhealthy,"[""lweight"",""gweight""]","[""none""]"
190325354468,3,2021-03-13T17:24:01.316Z,5e5e33730fa612000a1fa1f7,male,18,Portuguese,2,clow,neutral,"[""none""]","[""none""]"
1001784944359,3,2021-03-13T17:32:47.072Z,5f6085189d9f7b026c8e635a,female,26,Polish,3,cmedium,neutral,"[""salt"",""fruit"",""vegetables"",""stop eating refined sugar ""]","[""gluten""]"
432489582737,3,2021-03-13T17:23:44.797Z,5ff767b12e30bf422b3722d9,male,25,Spaniard,3,chigh,healthy,"[""protein""]","[""none""]"
113015344517,3,2021-03-13T17:23:07.630Z,5e739143d4934a023004b7fc,male,24,Polish,3,chigh,healthy,"[""none""]","[""none""]"
406411612940,3,2021-03-13T17:23:57.800Z,5d8f1a95b0b5ba001599cd96,male,21,Polish,2,chigh,healthy,"[""protein"",""vegetables"",""lweight""]","[""none""]"
1261647165341,3,2021-03-13T17:23:27.315Z,5eb80b0e8d5a240519406f02,male,30,Polish,2,cmedium,unhealthy,"[""protein"",""vegetables"",""gweight""]","[""none""]"
1378184566872,3,2021-03-13T17:24:19.143Z,5be941580aa5b80001384d8c,male,34,Finnish,2,cmedium,unhealthy,"[""fruit"",""vegetables"",""lweight""]","[""none""]"
757282881777,3,2021-03-13T17:24:21.477Z,5ea35bb82788e52de5e56b85,female,29,french,4,cmedium,neutral,"[""fruit"",""vegetables""]","[""none""]"
714085434726,3,2021-03-13T17:24:01.602Z,5e70c8ae4a860a0008edf420,female,22,Portuguese,3,clow,neutral,"[""fruit"",""vegetables"",""lweight"",""Eat less animal products""]","[""none""]"
231197445397,3,2021-03-13T17:24:20.749Z,5e183cd9373b8c118f1afe97,female,26,Italian ,2,cmedium,neutral,"[""salt"",""fruit"",""vegetables"",""lweight""]","[""gluten""]"
1510382618096,3,2021-03-13T17:24:11.431Z,5ff61f034368b817c12167d6,female,30,Asian,3,cmedium,healthy,"[""gweight""]","[""vegan""]"
1450281288484,3,2021-03-13T17:24:43.501Z,5f9699855237d2000cb00fcc,male,21,Polish,2,cmedium,healthy,"[""lweight""]","[""none""]"
2167094989,3,2021-03-13T17:24:38.270Z,5faa5122c3611f32c4bd1821,female,18,Polish,1,clow,unhealthy,"[""gweight""]","[""none""]"
767269557733,3,2021-03-13T17:24:27.732Z,5fa969f2b6ebc40f7f189f61,male,20,Polish,2,cmedium,neutral,"[""gweight""]","[""none""]"
1449910016703,3,2021-03-13T17:24:31.950Z,5c4b4004d0934d0001c3d17b,female,38,Portuguese,2,cmedium,neutral,"[""lweight""]","[""none""]"
1234920850081,3,2021-03-13T17:24:57.119Z,5bf5e55ebf67dc00015a2b3f,male,24,Polish,2,cmedium,unhealthy,"[""lweight""]","[""none""]"
1546425014718,3,2021-03-13T17:24:51.226Z,602a4a1e951673a04898b647,male,22,Dutch,3,chigh,healthy,"[""protein"",""gweight""]","[""none""]"
422954524517,3,2021-03-13T17:24:44.739Z,5f2f31201649be31653dabc5,female,37,Mexican,4,cmedium,healthy,"[""none""]","[""none""]"
178662704939,3,2021-03-13T17:24:44.968Z,6037a0d84bcef502dd175635,female,32,Slovenian,4,chigh,healthy,"[""none""]","[""none""]"
