session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cb7e2b344acc4f95d37b5,5fc25f1b214f5d3dfd67e588,AWAITING REVIEW,2021-03-13 13:02:26.248000,2021-03-13 13:07:35.379000,309.131,19,79,0,100,,5F069648,United Kingdom,United Kingdom,None,Other,DATA EXPIRED,English,United Kingdom,Male,Yes
604cb7e8f09f878359b4e408,5f1b4ff78c8f930f94e590de,AWAITING REVIEW,2021-03-13 13:02:32.432000,2021-03-13 13:11:49.731000,557.299,26,68,0,100,,5F069648,Poland,Poland,Sugar-free,Full-Time,Polish,"Polish, English",Poland,Male,No
604cb7f5da419ffb658b3fd9,5ff18e5283f6af57c8a094b0,AWAITING REVIEW,2021-03-13 13:02:51.365000,2021-03-13 13:07:17.085000,265.72,23,34,0,100,,5F069648,United Kingdom,,None,Full-Time,,English,United Kingdom,Female,No
604cb7f71928c6fb742b6a5b,5faa8121f8f5533a5c7f7a20,AWAITING REVIEW,2021-03-13 13:02:47.825000,2021-03-13 13:15:56.481000,788.656,24,44,0,100,,5F069648,Portugal,Portugal,None,Other,DATA EXPIRED,"English, Portuguese",Portugal,Male,Yes
604cb7fb1334c2dbc518bc92,5eada38722d640067ef3160a,AWAITING REVIEW,2021-03-13 13:02:51.327000,2021-03-13 13:07:30.994000,279.667,20,119,1,100,,5F069648,Hungary,Hungary,Dairy/lactose-free,Unemployed (and job seeking),Hungarian,"Hungarian, English",Hungary,Male,Yes
604cb803749eb8d0e4efdbaa,5efda21051d25a1ed9988009,AWAITING REVIEW,2021-03-13 13:03:04.446000,2021-03-13 13:08:59.385000,354.939,34,46,0,100,,5F069648,South Africa,South Africa,None,Part-Time,Afrikaans,"Afrikaans, English",South Africa,Male,No
604cb805971b67e494de9d1e,5f9eea7b0517c64cdfdd4f8a,AWAITING REVIEW,2021-03-13 13:03:03.789000,2021-03-13 13:08:33.346000,329.557,26,43,0,100,,5F069648,Italy,Italy,None,Unemployed (and job seeking),DATA EXPIRED,"Italian, English, French",Italy,Male,Yes
604cb80e0c27ec01f877c8da,5e55a855bbfb6d09430d531b,AWAITING REVIEW,2021-03-13 13:03:14.004000,2021-03-13 13:09:51.334000,397.33,27,145,1,100,,5F069648,South Africa,South Africa,None,Part-Time,English,English,South Africa,Male,No
604cb821698f98e73bca299a,5e9eaaec5c16f02703c0a9fc,AWAITING REVIEW,2021-03-13 13:10:17.611000,2021-03-13 13:19:45.706000,568.095,41,75,0,100,,5F069648,Russian Federation,Italy,None,Full-Time,Russian,"English, Italian, Russian",Russian Federation,Female,No
604cb82acaef6dbe91f6f52e,601b4c26e9531b5069920cc9,AWAITING REVIEW,2021-03-13 13:03:40.666000,2021-03-13 13:08:00,259.334,21,14,0,100,,5F069648,Portugal,Portugal,None,Other,,"English, Portuguese, Spanish",Portugal,Male,Yes
